Epoch 001 | Train_loss 2.312 | Val_loss 2.592 | Train_acc 0.386 | Val_acc 0.332
Epoch 002 | Train_loss 2.161 | Val_loss 2.548 | Train_acc 0.396 | Val_acc 0.324
Epoch 003 | Train_loss 2.076 | Val_loss 2.524 | Train_acc 0.405 | Val_acc 0.328
Epoch 004 | Train_loss 1.977 | Val_loss 2.508 | Train_acc 0.438 | Val_acc 0.363
Epoch 005 | Train_loss 1.894 | Val_loss 2.492 | Train_acc 0.451 | Val_acc 0.363
Epoch 006 | Train_loss 1.814 | Val_loss 2.505 | Train_acc 0.464 | Val_acc 0.352
Epoch 007 | Train_loss 1.747 | Val_loss 2.538 | Train_acc 0.480 | Val_acc 0.359
Epoch 008 | Train_loss 1.650 | Val_loss 2.512 | Train_acc 0.502 | Val_acc 0.375
Epoch 009 | Train_loss 1.576 | Val_loss 2.550 | Train_acc 0.527 | Val_acc 0.363
Epoch 010 | Train_loss 1.515 | Val_loss 2.590 | Train_acc 0.548 | Val_acc 0.363
