Epoch 001 | Train_loss 5.173 | Val_loss 4.456 | Train_acc 0.345 | Val_acc 0.148
Epoch 002 | Train_loss 3.587 | Val_loss 3.334 | Train_acc 0.284 | Val_acc 0.219
Epoch 003 | Train_loss 2.838 | Val_loss 3.115 | Train_acc 0.320 | Val_acc 0.227
Epoch 004 | Train_loss 2.688 | Val_loss 2.940 | Train_acc 0.305 | Val_acc 0.211
Epoch 005 | Train_loss 2.503 | Val_loss 2.850 | Train_acc 0.345 | Val_acc 0.219
Epoch 006 | Train_loss 2.382 | Val_loss 2.788 | Train_acc 0.342 | Val_acc 0.250
Epoch 007 | Train_loss 2.292 | Val_loss 2.805 | Train_acc 0.373 | Val_acc 0.258
Epoch 008 | Train_loss 2.182 | Val_loss 2.801 | Train_acc 0.388 | Val_acc 0.281
Epoch 009 | Train_loss 2.074 | Val_loss 2.754 | Train_acc 0.406 | Val_acc 0.312
Epoch 010 | Train_loss 1.984 | Val_loss 2.742 | Train_acc 0.434 | Val_acc 0.305
